id;name;source_id;node_id;lat;long;country_code;comment;param;uncertainty;method;tags
INET_LG_2;Barcelona;['INET_LG_2'];['INET_N_142'];41.398;2.174;ES;None;{'GCV_mean_kWh_per_m3': 11.65, 'end_year': None, 'entsog_id': 309.0, 'from_TSO': 'Enagas', 'is_H_gas': 1, 'max_cap_store2pipe_M_m3_per_d': 46.60085835616439, 'max_vessel_size_M_m3': 155.344, 'max_workingGas_M_m3': 490.56, 'start_year': 1969.0, 'to_TSO': 'Enagas', 'nuts_id_1': 'ES5', 'nuts_id_2': 'ES51', 'nuts_id_3': 'ES511'};{'GCV_mean_kWh_per_m3': 0, 'end_year': None, 'entsog_id': 0, 'from_TSO': 0, 'is_H_gas': 0.5, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_vessel_size_M_m3': 0.0, 'max_workingGas_M_m3': 0.0, 'start_year': 0, 'to_TSO': 0};{'GCV_mean_kWh_per_m3': 'raw', 'end_year': None, 'entsog_id': 'raw', 'from_TSO': 'raw', 'is_H_gas': 'make_Attrib(const)', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_vessel_size_M_m3': 'raw', 'max_workingGas_M_m3': 'raw', 'start_year': 'raw', 'to_TSO': 'raw'};{}
INET_LG_3;Bilbao;['INET_LG_3'];['INET_N_187'];43.3602;-3.093865;ES;None;{'GCV_mean_kWh_per_m3': 11.65, 'end_year': None, 'entsog_id': 314.0, 'from_TSO': 'BBG', 'is_H_gas': 1, 'max_cap_store2pipe_M_m3_per_d': 19.11587982739726, 'max_vessel_size_M_m3': 157.68, 'max_workingGas_M_m3': 262.8, 'start_year': 2003.0, 'to_TSO': 'Enagas', 'nuts_id_1': 'ES2', 'nuts_id_2': 'ES21', 'nuts_id_3': 'ES213'};{'GCV_mean_kWh_per_m3': 0, 'end_year': None, 'entsog_id': 0, 'from_TSO': 0, 'is_H_gas': 0.5, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_vessel_size_M_m3': 0.0, 'max_workingGas_M_m3': 0.0, 'start_year': 0, 'to_TSO': 0};{'GCV_mean_kWh_per_m3': 'raw', 'end_year': None, 'entsog_id': 'raw', 'from_TSO': 'raw', 'is_H_gas': 'make_Attrib(const)', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_vessel_size_M_m3': 'raw', 'max_workingGas_M_m3': 'raw', 'start_year': 'raw', 'to_TSO': 'raw'};{}
INET_LG_5;Cartagena;['INET_LG_5'];['INET_N_287'];37.61455;-0.9921;ES;None;{'GCV_mean_kWh_per_m3': 11.65, 'end_year': None, 'entsog_id': 311.0, 'from_TSO': 'Enagas', 'is_H_gas': 1, 'max_cap_store2pipe_M_m3_per_d': 32.25751073972603, 'max_vessel_size_M_m3': 155.344, 'max_workingGas_M_m3': 361.496, 'start_year': 1989.0, 'to_TSO': 'Enagas', 'nuts_id_1': 'ES6', 'nuts_id_2': 'ES62', 'nuts_id_3': 'ES620'};{'GCV_mean_kWh_per_m3': 0, 'end_year': None, 'entsog_id': 0, 'from_TSO': 0, 'is_H_gas': 0.5, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_vessel_size_M_m3': 0.0, 'max_workingGas_M_m3': 0.0, 'start_year': 0, 'to_TSO': 0};{'GCV_mean_kWh_per_m3': 'raw', 'end_year': None, 'entsog_id': 'raw', 'from_TSO': 'raw', 'is_H_gas': 'make_Attrib(const)', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_vessel_size_M_m3': 'raw', 'max_workingGas_M_m3': 'raw', 'start_year': 'raw', 'to_TSO': 'raw'};{}
INET_LG_6;Cavarzere;['INET_LG_6'];['INET_N_299'];45.133742;12.08022;IT;None;{'GCV_mean_kWh_per_m3': 11.602, 'end_year': None, 'entsog_id': 307.0, 'from_TSO': 'GNL Adriatico', 'is_H_gas': 1, 'max_cap_store2pipe_M_m3_per_d': 20.94466471232877, 'max_vessel_size_M_m3': 88.768, 'max_workingGas_M_m3': 146.0, 'start_year': 2009.0, 'to_TSO': 'multiple_TSOs', 'nuts_id_1': 'ITH', 'nuts_id_2': 'ITH3', 'nuts_id_3': 'ITH35'};{'GCV_mean_kWh_per_m3': 0, 'end_year': None, 'entsog_id': 0, 'from_TSO': 0, 'is_H_gas': 0.5, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_vessel_size_M_m3': 0.0, 'max_workingGas_M_m3': 0.0, 'start_year': 0, 'to_TSO': 0};{'GCV_mean_kWh_per_m3': 'raw', 'end_year': None, 'entsog_id': 'raw', 'from_TSO': 'raw', 'is_H_gas': 'make_Attrib(const)', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_vessel_size_M_m3': 'raw', 'max_workingGas_M_m3': 'raw', 'start_year': 'raw', 'to_TSO': 'raw'};{}
INET_LG_8;Dragon;['INET_LG_8'];['INET_N_1069'];51.707943;-5.009186;GB;Milford Haven South Wales;{'GCV_mean_kWh_per_m3': 11.0, 'end_year': None, 'entsog_id': 303.0, 'from_TSO': 'multiple_TSOs', 'is_H_gas': 1, 'max_cap_store2pipe_M_m3_per_d': 83.34545454794521, 'max_vessel_size_M_m3': 126.728, 'max_workingGas_M_m3': 186.88, 'start_year': 2009.0, 'to_TSO': 'National Grid Gas', 'nuts_id_1': 'UKL', 'nuts_id_2': 'UKL1', 'nuts_id_3': 'UKL14'};{'GCV_mean_kWh_per_m3': 0, 'end_year': None, 'entsog_id': 0, 'from_TSO': 0, 'is_H_gas': 0.5, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_vessel_size_M_m3': 0.0, 'max_workingGas_M_m3': 0.0, 'start_year': 0, 'to_TSO': 0};{'GCV_mean_kWh_per_m3': 'raw', 'end_year': None, 'entsog_id': 'raw', 'from_TSO': 'raw', 'is_H_gas': 'make_Attrib(const)', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_vessel_size_M_m3': 'raw', 'max_workingGas_M_m3': 'raw', 'start_year': 'raw', 'to_TSO': 'raw'};{}
INET_LG_9;Dunkerque;['INET_LG_9'];['INET_N_443'];51.033134;2.194792;FR;None;{'GCV_mean_kWh_per_m3': 11.75, 'end_year': None, 'entsog_id': 320.0, 'from_TSO': 'Dunkerque LNG', 'is_H_gas': 1, 'max_cap_store2pipe_M_m3_per_d': 48.51063830136986, 'max_vessel_size_M_m3': 155.928, 'max_workingGas_M_m3': 350.4, 'start_year': 2016.0, 'to_TSO': 'GRTgaz', 'nuts_id_1': 'FRE', 'nuts_id_2': 'FRE1', 'nuts_id_3': 'FRE11'};{'GCV_mean_kWh_per_m3': 0, 'end_year': None, 'entsog_id': 0, 'from_TSO': 0, 'is_H_gas': 0.5, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_vessel_size_M_m3': 0.0, 'max_workingGas_M_m3': 0.0, 'start_year': 0, 'to_TSO': 0};{'GCV_mean_kWh_per_m3': 'raw', 'end_year': None, 'entsog_id': 'raw', 'from_TSO': 'raw', 'is_H_gas': 'make_Attrib(const)', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_vessel_size_M_m3': 'raw', 'max_workingGas_M_m3': 'raw', 'start_year': 'raw', 'to_TSO': 'raw'};{}
INET_LG_10;El Musel;['INET_LG_10'];['INET_N_461'];43.534;-5.664;ES;Musel;{'GCV_mean_kWh_per_m3': None, 'end_year': None, 'entsog_id': None, 'from_TSO': None, 'is_H_gas': 1, 'max_cap_store2pipe_M_m3_per_d': 19.17808219178082, 'max_vessel_size_M_m3': 155.344, 'max_workingGas_M_m3': 175.2, 'start_year': 2012.0, 'to_TSO': None, 'nuts_id_1': 'ES1', 'nuts_id_2': 'ES12', 'nuts_id_3': 'ES120'};{'GCV_mean_kWh_per_m3': None, 'end_year': None, 'entsog_id': None, 'from_TSO': None, 'is_H_gas': 0.5, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_vessel_size_M_m3': 0.0, 'max_workingGas_M_m3': 0.0, 'start_year': 0, 'to_TSO': None};{'GCV_mean_kWh_per_m3': None, 'end_year': None, 'entsog_id': None, 'from_TSO': None, 'is_H_gas': 'make_Attrib(const)', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_vessel_size_M_m3': 'raw', 'max_workingGas_M_m3': 'raw', 'start_year': 'raw', 'to_TSO': None};{}
INET_LG_11;Fos Cavaou;['INET_LG_11'];['INET_N_544'];43.42239;4.89863;FR;None;{'GCV_mean_kWh_per_m3': 12.05, 'end_year': None, 'entsog_id': 305.0, 'from_TSO': 'Fosmax LNG', 'is_H_gas': 1, 'max_cap_store2pipe_M_m3_per_d': 27.385892115068494, 'max_vessel_size_M_m3': 155.928, 'max_workingGas_M_m3': 321.2, 'start_year': 2020.0, 'to_TSO': 'GRTgaz', 'nuts_id_1': 'FRL', 'nuts_id_2': 'FRL0', 'nuts_id_3': 'FRL04'};{'GCV_mean_kWh_per_m3': 0, 'end_year': None, 'entsog_id': 0, 'from_TSO': 0, 'is_H_gas': 0.5, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_vessel_size_M_m3': 0.0, 'max_workingGas_M_m3': 0.0, 'start_year': 0, 'to_TSO': 0};{'GCV_mean_kWh_per_m3': 'raw', 'end_year': None, 'entsog_id': 'raw', 'from_TSO': 'raw', 'is_H_gas': 'make_Attrib(const)', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_vessel_size_M_m3': 'raw', 'max_workingGas_M_m3': 'raw', 'start_year': 'raw', 'to_TSO': 'raw'};{}
INET_LG_12;Fos Tonkin;['INET_LG_12'];['INET_N_546'];43.454;4.85167;FR;None;{'GCV_mean_kWh_per_m3': 12.05, 'end_year': None, 'entsog_id': 305.0, 'from_TSO': 'Elengy', 'is_H_gas': 1, 'max_cap_store2pipe_M_m3_per_d': 11.286307054794522, 'max_vessel_size_M_m3': 43.8, 'max_workingGas_M_m3': 90.52, 'start_year': 1972.0, 'to_TSO': 'GRTgaz', 'nuts_id_1': 'FRL', 'nuts_id_2': 'FRL0', 'nuts_id_3': 'FRL04'};{'GCV_mean_kWh_per_m3': 0, 'end_year': None, 'entsog_id': 0, 'from_TSO': 0, 'is_H_gas': 0.5, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_vessel_size_M_m3': 0.0, 'max_workingGas_M_m3': 0.0, 'start_year': 0, 'to_TSO': 0};{'GCV_mean_kWh_per_m3': 'raw', 'end_year': None, 'entsog_id': 'raw', 'from_TSO': 'raw', 'is_H_gas': 'make_Attrib(const)', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_vessel_size_M_m3': 'raw', 'max_workingGas_M_m3': 'raw', 'start_year': 'raw', 'to_TSO': 'raw'};{}
INET_LG_13;Gate Rotterdam;['INET_LG_13'];['INET_N_569'];51.965418;4.077814;NL;Rotterdam;{'GCV_mean_kWh_per_m3': None, 'end_year': None, 'entsog_id': 316.0, 'from_TSO': 'Gate Terminal ', 'is_H_gas': 1, 'max_cap_store2pipe_M_m3_per_d': 43.83561643835616, 'max_vessel_size_M_m3': 155.344, 'max_workingGas_M_m3': 420.48, 'start_year': 2018.0, 'to_TSO': 'Gasunie TS', 'nuts_id_1': 'NL3', 'nuts_id_2': 'NL33', 'nuts_id_3': 'NL33C'};{'GCV_mean_kWh_per_m3': None, 'end_year': None, 'entsog_id': 0, 'from_TSO': 0, 'is_H_gas': 0.5, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_vessel_size_M_m3': 0.0, 'max_workingGas_M_m3': 0.0, 'start_year': 0, 'to_TSO': 0};{'GCV_mean_kWh_per_m3': None, 'end_year': None, 'entsog_id': 'raw', 'from_TSO': 'raw', 'is_H_gas': 'make_Attrib(const)', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_vessel_size_M_m3': 'raw', 'max_workingGas_M_m3': 'raw', 'start_year': 'raw', 'to_TSO': 'raw'};{}
INET_LG_15;Huelva;['INET_LG_15'];['INET_N_697'];37.2583;-6.9508;ES;None;{'GCV_mean_kWh_per_m3': 11.65, 'end_year': None, 'entsog_id': 312.0, 'from_TSO': 'Enagas', 'is_H_gas': 1, 'max_cap_store2pipe_M_m3_per_d': 32.25751073972603, 'max_vessel_size_M_m3': 101.26559999999999, 'max_workingGas_M_m3': 361.788, 'start_year': 1988.0, 'to_TSO': 'Enagas', 'nuts_id_1': 'ES6', 'nuts_id_2': 'ES61', 'nuts_id_3': 'ES615'};{'GCV_mean_kWh_per_m3': 0, 'end_year': None, 'entsog_id': 0, 'from_TSO': 0, 'is_H_gas': 0.5, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_vessel_size_M_m3': 0.0, 'max_workingGas_M_m3': 0.0, 'start_year': 0, 'to_TSO': 0};{'GCV_mean_kWh_per_m3': 'raw', 'end_year': None, 'entsog_id': 'raw', 'from_TSO': 'raw', 'is_H_gas': 'make_Attrib(const)', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_vessel_size_M_m3': 'raw', 'max_workingGas_M_m3': 'raw', 'start_year': 'raw', 'to_TSO': 'raw'};{}
INET_LG_16;Isle Of Grain;['INET_LG_16'];['INET_N_744'];51.444667;0.703933;GB;Isle_of_Grain Kent;{'GCV_mean_kWh_per_m3': 11.0, 'end_year': None, 'entsog_id': 302.0, 'from_TSO': 'Grain LNG', 'is_H_gas': 1, 'max_cap_store2pipe_M_m3_per_d': 56.82727273972603, 'max_vessel_size_M_m3': 154.76, 'max_workingGas_M_m3': 584.0, 'start_year': 2020.0, 'to_TSO': 'National Grid Gas', 'nuts_id_1': 'UKJ', 'nuts_id_2': 'UKJ4', 'nuts_id_3': 'UKJ41'};{'GCV_mean_kWh_per_m3': 0, 'end_year': None, 'entsog_id': 0, 'from_TSO': 0, 'is_H_gas': 0.5, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_vessel_size_M_m3': 0.0, 'max_workingGas_M_m3': 0.0, 'start_year': 0, 'to_TSO': 0};{'GCV_mean_kWh_per_m3': 'raw', 'end_year': None, 'entsog_id': 'raw', 'from_TSO': 'raw', 'is_H_gas': 'make_Attrib(const)', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_vessel_size_M_m3': 'raw', 'max_workingGas_M_m3': 'raw', 'start_year': 'raw', 'to_TSO': 'raw'};{}
INET_LG_17;Klaipeda;['INET_LG_17'];['INET_N_847'];55.7253;21.101954;LT;None;{'GCV_mean_kWh_per_m3': 11.7115, 'end_year': None, 'entsog_id': 319.0, 'from_TSO': 'AB Klaipedos Nafta', 'is_H_gas': 1, 'max_cap_store2pipe_M_m3_per_d': 10.45126584931507, 'max_vessel_size_M_m3': 93.44, 'max_workingGas_M_m3': 99.28, 'start_year': 2014.0, 'to_TSO': 'Amber Grid', 'nuts_id_1': 'LT0', 'nuts_id_2': 'LT02', 'nuts_id_3': 'LT023'};{'GCV_mean_kWh_per_m3': 0, 'end_year': None, 'entsog_id': 0, 'from_TSO': 0, 'is_H_gas': 0.5, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_vessel_size_M_m3': 0.0, 'max_workingGas_M_m3': 0.0, 'start_year': 0, 'to_TSO': 0};{'GCV_mean_kWh_per_m3': 'raw', 'end_year': None, 'entsog_id': 'raw', 'from_TSO': 'raw', 'is_H_gas': 'make_Attrib(const)', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_vessel_size_M_m3': 'raw', 'max_workingGas_M_m3': 'raw', 'start_year': 'raw', 'to_TSO': 'raw'};{}
